Date,Site_ID,Error,Combined_DateTime,2368-1,2368-10,2368-11,2368-12,2368-13,2368-14,2368-15,2368-16,2368-17,2368-18,2368-19,2368-2,2368-20,2368-21,2368-22,2368-23,2368-24,2368-3,2368-4,2368-5,2368-6,2368-7,2368-8,2368-9
8/03/2023,2368,False,2023-08-03 08:45:00,70,8,26,27,7,13,18,21,23,5,4,30,0,0,12,3,2,42,45,0,28,34,36,23
8/03/2023,2368,False,2023-08-03 08:50:00,40,11,28,36,13,5,10,17,17,1,0,28,0,0,7,2,5,40,43,0,21,37,41,35
8/03/2023,2368,False,2023-08-03 08:55:00,51,10,33,32,8,9,9,11,13,0,2,30,1,0,2,0,2,57,48,2047,22,27,28,28
8/03/2023,2368,False,2023-08-03 09:00:00,57,8,19,46,11,31,13,20,24,12,0,15,2,0,9,1,1,47,49,2047,20,24,31,29
8/03/2023,2368,False,2023-08-03 09:05:00,53,5,40,54,11,26,18,20,18,2,1,20,3,0,3,1,0,53,59,2047,14,23,25,22
8/03/2023,2368,False,2023-08-03 09:10:00,46,11,19,23,11,11,6,13,16,0,3,20,0,0,14,0,3,34,45,2047,27,43,46,26
8/03/2023,2368,False,2023-08-03 09:15:00,55,18,21,23,5,13,11,23,19,1,3,23,0,0,10,0,0,49,47,2047,15,43,31,11
8/03/2023,2368,False,2023-08-03 09:20:00,32,5,32,31,7,6,10,21,17,1,1,22,0,0,34,1,0,42,55,2047,19,43,44,20
8/03/2023,2368,False,2023-08-03 09:25:00,49,17,23,41,4,11,13,23,25,12,0,21,0,0,40,1,0,34,49,2047,18,55,40,22
8/03/2023,2368,False,2023-08-03 09:30:00,36,14,20,37,4,5,18,15,15,3,0,18,0,0,18,0,0,33,51,2047,12,26,24,20
8/03/2023,2368,False,2023-08-03 09:35:00,8,9,32,29,6,9,9,17,21,1,4,14,0,0,22,1,0,29,47,2047,17,55,29,25
8/03/2023,2368,False,2023-08-03 09:40:00,13,11,22,21,6,12,10,19,9,0,1,18,0,0,3,0,0,32,37,2047,11,27,26,19
8/03/2023,2368,False,2023-08-03 09:45:00,21,15,26,41,4,12,13,22,20,1,0,23,1,0,10,1,0,35,50,2047,23,24,25,20
8/03/2023,2368,False,2023-08-03 09:50:00,41,12,27,33,5,11,11,15,17,6,1,17,0,0,18,3,6,41,40,2047,21,45,31,21
8/03/2023,2368,False,2023-08-03 09:55:00,28,7,28,38,9,8,10,16,18,4,1,10,0,0,8,4,1,32,41,2047,22,41,34,16
8/03/2023,2368,False,2023-08-03 10:00:00,34,20,20,25,7,10,12,22,16,1,0,11,2,0,4,0,0,22,48,2047,25,20,29,18
8/03/2023,2368,False,2023-08-03 10:05:00,37,11,25,33,4,9,10,19,21,0,4,15,0,0,26,6,1,22,34,2047,14,29,51,36
8/03/2023,2368,False,2023-08-03 10:10:00,14,11,30,51,9,11,14,19,20,13,1,13,2,0,13,3,0,32,42,2047,17,29,39,20
8/03/2023,2368,False,2023-08-03 10:15:00,18,11,38,41,8,8,16,18,13,4,3,13,0,0,18,0,0,31,57,2047,13,35,33,9
8/03/2023,2368,False,2023-08-03 10:20:00,51,11,20,31,7,9,12,13,11,5,3,12,0,0,18,1,0,27,47,2047,13,36,38,16
8/03/2023,2368,False,2023-08-03 10:25:00,24,7,25,30,3,15,11,14,16,4,0,10,0,0,14,1,1,27,37,2047,15,28,31,14
8/03/2023,2368,False,2023-08-03 10:30:00,26,19,17,25,6,13,16,22,30,5,2,13,0,0,11,1,1,29,32,2047,14,34,29,19
8/03/2023,2368,False,2023-08-03 10:35:00,27,12,29,36,8,4,12,16,19,1,0,14,0,0,21,7,1,27,45,2047,20,38,39,19
8/03/2023,2368,False,2023-08-03 10:40:00,33,12,29,55,5,9,12,25,13,3,2,14,0,0,14,0,0,33,43,2047,14,33,27,15
8/03/2023,2368,False,2023-08-03 10:45:00,18,17,34,47,7,13,13,18,21,10,0,13,0,0,47,1,0,29,42,2047,10,38,51,21
8/03/2023,2368,False,2023-08-03 10:50:00,17,16,22,47,5,5,17,14,19,7,2,12,1,0,22,1,1,30,33,2047,10,43,29,14
8/03/2023,2368,False,2023-08-03 10:55:00,30,10,29,60,8,14,17,24,27,11,1,16,2,0,22,3,1,23,32,2047,25,37,28,17
8/03/2023,2368,False,2023-08-03 11:00:00,27,17,20,44,6,5,14,17,24,4,14,11,0,0,25,0,1,29,80,2047,27,27,27,14
8/03/2023,2368,False,2023-08-03 11:05:00,45,18,28,58,22,3,12,18,20,15,5,14,10,0,39,3,3,43,59,2047,21,64,33,24
8/03/2023,2368,False,2023-08-03 11:10:00,33,14,30,63,7,6,15,18,18,21,3,14,0,0,26,0,1,30,41,2047,13,46,30,31
8/03/2023,2368,False,2023-08-03 11:15:00,26,21,25,28,5,17,20,27,19,0,2,12,0,0,25,1,1,31,38,2047,15,51,26,17
8/03/2023,2368,False,2023-08-03 11:20:00,29,17,29,31,5,13,14,19,18,4,0,12,1,0,23,0,1,26,41,2047,15,48,22,18
8/03/2023,2368,False,2023-08-03 11:25:00,18,8,23,28,10,15,12,20,21,0,2,16,0,0,9,1,0,32,35,2047,14,23,18,12
8/03/2023,2368,False,2023-08-03 11:30:00,32,11,38,36,8,17,16,20,21,4,3,11,0,0,33,1,2,16,34,2047,21,45,35,16
8/03/2023,2368,False,2023-08-03 11:35:00,30,14,33,42,7,9,17,21,13,6,3,21,0,0,54,1,0,21,40,2047,15,35,51,33
8/03/2023,2368,False,2023-08-03 11:40:00,52,13,26,36,13,13,16,20,21,8,1,11,0,0,32,1,1,17,30,2047,17,50,48,20
8/03/2023,2368,False,2023-08-03 11:45:00,43,15,39,55,5,12,14,30,27,6,3,12,0,0,11,1,0,29,39,2047,12,34,26,19
8/03/2023,2368,False,2023-08-03 11:50:00,31,19,38,63,8,16,15,24,19,12,2,10,1,0,32,1,1,30,44,2047,19,44,46,17
8/03/2023,2368,False,2023-08-03 11:55:00,35,19,32,57,9,10,22,21,24,7,1,13,1,0,18,0,2,29,42,2047,15,46,25,15
8/03/2023,2368,False,2023-08-03 12:00:00,33,18,32,45,13,12,10,19,20,2,2,13,2,0,30,1,1,26,37,2047,16,46,51,15
8/03/2023,2368,False,2023-08-03 12:05:00,22,21,18,21,6,10,20,23,23,2,1,7,0,0,17,0,2,27,42,2047,26,17,27,22
8/03/2023,2368,False,2023-08-03 12:10:00,29,16,36,45,7,12,16,28,29,0,2,12,0,0,15,0,2,28,46,2047,11,28,32,26
8/03/2023,2368,False,2023-08-03 12:15:00,16,14,31,27,9,7,15,24,24,0,1,15,0,0,30,2,2,37,38,2047,16,41,21,23
8/03/2023,2368,False,2023-08-03 12:20:00,25,16,27,38,8,10,14,26,31,1,0,8,1,0,12,1,0,29,38,2047,13,22,27,11
8/03/2023,2368,False,2023-08-03 12:25:00,35,11,29,27,10,12,14,19,15,0,0,16,0,0,42,0,3,27,48,2047,14,68,45,13
8/03/2023,2368,False,2023-08-03 12:30:00,29,12,26,38,8,7,20,27,24,3,1,10,0,0,47,0,6,31,38,2047,16,62,41,22
